,num_bikeshares,fatalities_cyclists,fatalities_pedestrians,majorinjuries_cyclists,majorinjuries_pedestrians,minorinjuries_cyclists,minorinjuries_pedestrians,speeding,total_vehicles
267,6331,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
268,10275,1.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0
269,11200,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
270,6755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
271,13009,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0
272,14601,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0
273,12065,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
274,12509,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0
275,13643,0.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0
276,13730,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0
277,13299,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0
278,13573,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0
279,13301,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
280,13534,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
281,12365,,,,,,,,
282,12249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
283,13073,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0
284,6972,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0
285,13221,0.0,0.0,1.0,0.0,3.0,0.0,0.0,5.0
286,11290,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
287,8039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
288,8521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
289,11741,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
290,12643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
291,11579,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0
292,11960,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0
293,11390,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0
294,7706,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0
295,10201,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
296,11732,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
297,11001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
298,10340,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
299,7480,,,,,,,,
300,4724,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
301,8580,,,,,,,,
302,9866,0.0,0.0,0.0,0.0,3.0,0.0,0.0,10.0
303,11364,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0
304,11395,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
305,12432,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
306,10105,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0
307,9284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
308,9084,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0
309,4399,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
310,6023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
311,9918,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
312,10420,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
313,5430,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
314,6082,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
315,6320,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0
316,5446,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
317,6864,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0
318,8049,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
319,2155,,,,,,,,
320,7702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
321,7163,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
322,6452,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
323,9074,,,,,,,,
324,8354,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
325,6745,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
326,1933,,,,,,,,
327,2751,,,,,,,,
328,1499,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
329,6287,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
330,5809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
331,6611,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
332,6140,,,,,,,,
333,6829,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
334,7016,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
335,6470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
336,9666,,,,,,,,
337,16354,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0
338,9479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
339,6506,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
340,6952,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
341,6566,,,,,,,,
342,4420,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
343,3547,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
344,6105,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
345,6995,,,,,,,,
346,7574,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
347,8205,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
348,6416,,,,,,,,
349,1208,,,,,,,,
350,2363,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
351,7772,,,,,,,,
352,7514,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0
353,7466,,,,,,,,
354,4399,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0
355,5696,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
356,3710,,,,,,,,
357,3270,,,,,,,,
358,2492,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
359,1744,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
360,3752,,,,,,,,
361,5430,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
362,2125,,,,,,,,
363,6008,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
364,4929,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
365,2401,,,,,,,,
